,genes,perc,avg_logFC,p_val,cluster
1,CHST11,1,2.45321939800928,9.62045978362435e-33,Cluster_0 MACROD2 ENSG00000233755 - CHST11
2,ENSG00000271382,0.0666666666666667,8.33695730286168,7.00708907745412e-21,Cluster_0 MACROD2 ENSG00000233755 - CHST11
3,LINC02482,0.0666666666666667,6.49702222475565,3.59042219304769e-14,Cluster_0 MACROD2 ENSG00000233755 - CHST11
4,LBX1,0.0666666666666667,6.49266330468258,3.59042219304769e-14,Cluster_0 MACROD2 ENSG00000233755 - CHST11
5,WDR72,0.0666666666666667,5.61761984168418,8.46364661993546e-11,Cluster_0 MACROD2 ENSG00000233755 - CHST11
6,CNBD1,1,2.96748581038927,8.294515545625e-40,Cluster_0 MACROD2 ENSG00000233755 - CNBD1
7,MMEL1,0.0740740740740741,8.54091696454573,4.51219882646058e-23,Cluster_0 MACROD2 ENSG00000233755 - CNBD1
8,ENSG00000237372,0.111111111111111,5.69680610814913,3.89925049952097e-17,Cluster_0 MACROD2 ENSG00000233755 - CNBD1
9,JAML,0.0740740740740741,6.80398432179015,1.21181657787058e-15,Cluster_0 MACROD2 ENSG00000233755 - CNBD1
10,PPP1R17,0.0740740740740741,5.40809018141022,1.16261209372285e-09,Cluster_0 MACROD2 ENSG00000233755 - CNBD1
11,DNAI3,1,3.83999464741714,1.78704673813297e-56,Cluster_0 MACROD2 ENSG00000233755 - DNAI3
12,SLC2A12,0.0869565217391304,8.74306226043921,7.05786134557164e-27,Cluster_0 MACROD2 ENSG00000233755 - DNAI3
13,ARHGAP25,0.0869565217391304,8.73095314176115,7.05786134557164e-27,Cluster_0 MACROD2 ENSG00000233755 - DNAI3
14,RCOR2,0.0869565217391304,6.90138237851629,3.38034397536091e-18,Cluster_0 MACROD2 ENSG00000233755 - DNAI3
15,LINC00211,0.0869565217391304,6.89441139638134,3.38034397536091e-18,Cluster_0 MACROD2 ENSG00000233755 - DNAI3
16,HSP90AB1,1,1.2927386339063,1.34062039665968e-20,Cluster_0 MACROD2 ENSG00000233755 - HSP90AB1
17,GAB3,0.103448275862069,5.72395375174977,5.06503583595405e-16,Cluster_0 MACROD2 ENSG00000233755 - HSP90AB1
18,LINC01605.chr8.1,0.103448275862069,5.76113321178576,5.24237020451697e-16,Cluster_0 MACROD2 ENSG00000233755 - HSP90AB1
19,ENSG00000227400,0.0689655172413793,6.65800559110553,1.25355781071738e-14,Cluster_0 MACROD2 ENSG00000233755 - HSP90AB1
20,KCNK9,0.0689655172413793,5.74683413775072,3.95589334643106e-11,Cluster_0 MACROD2 ENSG00000233755 - HSP90AB1
21,LUZP2,1,3.6378569841645,9.15734621094442e-56,Cluster_0 MACROD2 ENSG00000233755 - LUZP2
22,CEACAM1,0.0769230769230769,6.70805261015722,3.29613736644522e-16,Cluster_0 MACROD2 ENSG00000233755 - LUZP2
23,ENSG00000253824,0.0769230769230769,6.58543595299529,3.29613736644522e-16,Cluster_0 MACROD2 ENSG00000233755 - LUZP2
24,ENSG00000248138,0.0769230769230769,6.12379457340412,2.44708577515966e-12,Cluster_0 MACROD2 ENSG00000233755 - LUZP2
25,LINC01681,1,0.381440259831386,2.65939179439888e-10,Cluster_0 MACROD2 ENSG00000233755 - LUZP2
26,MACROD2,1,2.49234956703816,9.42430188120287e-87,Cluster_0 MACROD2 ENSG00000233755 - MACROD2
27,LINC01681,0.98936170212766,0.346739246043342,3.84622391198099e-25,Cluster_0 MACROD2 ENSG00000233755 - MACROD2
28,ENSG00000233755,0.340425531914894,1.27986671898793,1.66270898183228e-07,Cluster_0 MACROD2 ENSG00000233755 - MACROD2
29,SLC39A12,0.117021276595745,2.35172891912418,7.79278019307565e-07,Cluster_0 MACROD2 ENSG00000233755 - MACROD2
30,FAM83D,0.074468085106383,2.52663874336327,1.77791112608969e-05,Cluster_0 MACROD2 ENSG00000233755 - MACROD2
31,MPP7,1,3.82666006884805,5.38964952287121e-50,Cluster_0 MACROD2 ENSG00000233755 - MPP7
32,ADAMTS12,0.2,4.42758567854229,8.61851242235345e-13,Cluster_0 MACROD2 ENSG00000233755 - MPP7
33,ENSG00000288088,0.1,5.87003633015241,9.16285016281572e-13,Cluster_0 MACROD2 ENSG00000233755 - MPP7
34,LINC02208,0.1,5.48660235565355,9.02297302978371e-11,Cluster_0 MACROD2 ENSG00000233755 - MPP7
35,NID2,0.1,5.44539727777008,9.64344555609571e-11,Cluster_0 MACROD2 ENSG00000233755 - MPP7
36,NMNAT2,1,3.1379679274443,1.57388757833375e-47,Cluster_0 MACROD2 ENSG00000233755 - NMNAT2
37,ENSG00000205300,0.0689655172413793,8.36163430387468,1.46306599945162e-21,Cluster_0 MACROD2 ENSG00000233755 - NMNAT2
